figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y,status
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,98.3138,mbar,3.2484,mmol/g,square,solid,#030303,false,medium,285.0000,304.5000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=CO2 273K partial coloured glyph/shape context at native coordinates (285.0,304.5); uncertainty_px=4.5",pt-a04-451a9d67edb28d1d,src-a04-451a9d67edb28d1d,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,6.2562,0.0362,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,116.3872,mbar,3.3571,mmol/g,square,solid,#030303,false,medium,298.0000,291.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=CO2 273K partial coloured glyph/shape context at native coordinates (298.0,291.0); uncertainty_px=4.5",pt-a04-98ed28a28fc737a1,src-a04-98ed28a28fc737a1,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,6.2562,0.0362,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,145.5827,mbar,3.5100,mmol/g,square,solid,#030303,false,medium,319.0000,272.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=CO2 273K partial coloured glyph/shape context at native coordinates (319.0,272.0); uncertainty_px=4.5",pt-a04-16594aa9fc1f8aef,src-a04-16594aa9fc1f8aef,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,6.2562,0.0362,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,178.9490,mbar,3.7031,mmol/g,square,solid,#030303,false,medium,343.0000,248.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=CO2 273K partial coloured glyph/shape context at native coordinates (343.0,248.0); uncertainty_px=4.5",pt-a04-236356820ee7767e,src-a04-236356820ee7767e,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,6.2562,0.0362,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,218.7522,mbar,3.8363,mmol/g,square,solid,#030303,false,high,371.6300,231.4500,assigned_by=joint_assignment; source=auto,pt-5d59dc46b8d7e61d,src-1b9129593bb3658a,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,6.2562,0.0362,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,252.2159,mbar,3.9649,mmol/g,square,solid,#030303,false,high,395.7000,215.4700,assigned_by=joint_assignment; source=auto,pt-a702fcf410824c94,src-e41c77ec1628c082,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,3.4757,0.0201,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,289.6139,mbar,4.0622,mmol/g,square,solid,#030303,false,high,422.6000,203.3900,assigned_by=joint_assignment; source=auto,pt-edce563dc2defb76,src-38b9f82896cce1f6,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,3.4757,0.0201,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,325.9971,mbar,4.1817,mmol/g,square,solid,#030303,false,high,448.7700,188.5300,assigned_by=joint_assignment; source=auto,pt-9d7a62213f7a7d22,src-71f19d762e020e1d,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,3.4757,0.0201,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,360.7676,mbar,4.2493,mmol/g,square,solid,#030303,false,high,473.7800,180.1400,assigned_by=joint_assignment; source=auto,pt-33ca8b84412110c0,src-cf83c136b1256c5e,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,3.4757,0.0201,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,396.6225,mbar,4.3401,mmol/g,square,solid,#030303,false,high,499.5700,168.8500,assigned_by=joint_assignment; source=auto,pt-538e2faa2e0dd71e,src-a4be9aaf2ba6ddc0,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,3.4757,0.0201,review
